,motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value,label
39,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.000442637775638,5.818231444776735e-05,2.1179686183249976e-05,0.0001289720264988,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2283,True,C,0,0.884846511627907,EXP
40,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002489048187972,1.2767478678310609e-05,0.0,6.383739339155304e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3097,True,C,0,0.884846511627907,EXP
41,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002489048187972,3.31780711308491e-05,9.50344499881207e-06,9.50851280941043e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8515,True,C,0,1.0,EXP
117,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004436069291218,5.818231444776735e-05,2.1814294907452853e-05,0.0001285715841196,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2387,True,C,10,0.8853906976744185,EXP
118,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002880400130341,1.2767478678310609e-05,0.0,7.660487206986363e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.304,True,C,10,0.8853906976744185,EXP
119,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002748332972741,3.31780711308491e-05,9.50344499881207e-06,9.486647725813442e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8458,True,C,10,1.0,EXP
195,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004475089815006,5.818231444776735e-05,2.1814294907452853e-05,0.000130742371711,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2366,True,C,20,0.8759581395348837,EXP
196,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002986857825567,1.2767478678310609e-05,0.0,7.660487206986363e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3062,True,C,20,0.8759581395348837,EXP
197,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002837153243211,3.31780711308491e-05,9.50344499881207e-06,9.238686952725988e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8433,True,C,20,1.0,EXP
273,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004566949484903,5.818231444776735e-05,2.1179686183249976e-05,0.0001274587014504,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2346,True,C,30,0.8817627906976743,EXP
274,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002489048187972,1.2767478678310609e-05,0.0,7.660487206986363e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3039,True,C,30,0.8817627906976743,EXP
